Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Story Points,Sprint,Fix Version
Epic,MARK-EPIC-01 Workplace Assistant Tools,Deliver nearby services calendar room menu and email assistant capabilities,Highest,"assistant,integrations,calendar,rooms",MARK-EPIC-01 Workplace Assistant Tools,,,Sprint 9,Release 1.1
Epic,MARK-EPIC-02 Wellbeing and Reminder Engine,Enable friendly check-ins and reliable reminder automations,Highest,"wellbeing,reminders,scheduler",MARK-EPIC-02 Wellbeing and Reminder Engine,,,Sprint 9,Release 1.1
Epic,MARK-EPIC-03 Proactive Automation Rules,Implement proactive break sentiment silence and weekly summary actions,Highest,"automation,wellbeing,hr-alerts",MARK-EPIC-03 Proactive Automation Rules,,,Sprint 11,Release 1.1
Epic,MARK-EPIC-04 Intelligence and Risk Scoring,Compute explainable burnout attrition and silence risk snapshots,High,"analytics,risk,ml",MARK-EPIC-04 Intelligence and Risk Scoring,,,Sprint 11,Release 1.1
Epic,MARK-EPIC-05 HR Dashboard Intelligence Views,Deliver HR intelligence panels alerts and employee risk table,High,"dashboard,analytics,hr",MARK-EPIC-05 HR Dashboard Intelligence Views,,,Sprint 12,Release 1.1
Story,MARK-US-101 Nearby services API,Implement nearby services search API and provider adapter,High,"assistant,integrations,maps",,MARK-EPIC-01 Workplace Assistant Tools,8,Sprint 9,Release 1.1
Story,MARK-US-102 Calendar availability API,Implement calendar availability endpoint with conflict scoring,High,"integrations,calendar,backend",,MARK-EPIC-01 Workplace Assistant Tools,8,Sprint 9,Release 1.1
Story,MARK-US-103 Calendar schedule API,Implement event scheduling with idempotency and retries,High,"integrations,calendar,reliability",,MARK-EPIC-01 Workplace Assistant Tools,5,Sprint 10,Release 1.1
Story,MARK-US-104 Room availability API,Implement room availability lookup and alternatives ranking,High,"integrations,rooms,backend",,MARK-EPIC-01 Workplace Assistant Tools,5,Sprint 10,Release 1.1
Story,MARK-US-105 Room booking API hardening,Implement room booking with overlap prevention and audit fields,High,"integrations,rooms,backend",,MARK-EPIC-01 Workplace Assistant Tools,8,Sprint 10,Release 1.1
Story,MARK-US-106 Cafeteria menu API,Implement cafeteria menu endpoint for today and date range,Medium,"assistant,menu,backend",,MARK-EPIC-01 Workplace Assistant Tools,3,Sprint 10,Release 1.1
Story,MARK-US-107 Structured email drafts,Implement structured email draft endpoint with tone controls,Medium,"assistant,email,ai",,MARK-EPIC-01 Workplace Assistant Tools,5,Sprint 10,Release 1.1
Story,MARK-US-201 Reminder schedules CRUD,Create reminder schedules table and CRUD APIs,High,"wellbeing,reminders,backend",,MARK-EPIC-02 Wellbeing and Reminder Engine,5,Sprint 9,Release 1.1
Story,MARK-US-202 Reminder scheduler worker,Build reminder scheduler worker with timezone support and retries,High,"wellbeing,scheduler,reliability",,MARK-EPIC-02 Wellbeing and Reminder Engine,8,Sprint 10,Release 1.1
